Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Iron oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength with good absorption in Iron oxides and minimal substrate damage"
"spotSize","50","μm","0.1","500","Beam spot diameter for efficient cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective oxide removal from Iron surface"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient oxide layer removal"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Number of cleaning passes for complete oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heat accumulation"
"power","200","W","50","1000","Typical range for industrial Nd:YAG laser cleaning of metals like iron; starting at 200W balances efficiency and safety to avoid melting (iron melting point ~1538°C). Max limited to prevent substrate damage via thermal conduction. Source: IPG Photonics YLR series specs and review in Optics and Lasers in Engineering (2018)."
"scan_speed","2000","mm/s","10","5000","Effective range for contamination removal on iron; higher speeds (e.g., 2000 mm/s) for light rust/oil, lower (500-1000 mm/s) for heavy oxides to ensure ablation without overheating. Recommended optimizes throughput while minimizing heat-affected zone (HAZ). Source: Industry standards from CleanLaser manuals and study in Journal of Cleaner Production (2020)."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred for iron cleaning to provide sufficient energy for contaminant ablation with minimal thermal diffusion (due to iron's high conductivity ~80 W/m·K); picosecond (ps) or femtosecond reduces HAZ further but increases cost. 30 ns balances efficacy and safety. Source: Laser physics in Applied Surface Science (2019) on metal ablation thresholds."
"repetition_rate","30","kHz","1","200","Common for pulsed cleaning of reflective metals like iron (reflectivity ~40-60% at 1064 nm); 30 kHz recommended for efficient pulse overlap without excessive heat accumulation, which could lead to oxidation. Higher rates speed up process but risk thermal buildup. Source: Academic review in Lasers in Manufacturing and Materials Processing (2021)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe removal of contaminants (e.g., rust, paint) on iron without ablating substrate; damage threshold ~2-4 J/cm² for iron at 1064 nm. 1.5 J/cm² recommended for effective cleaning below threshold, considering iron's absorption. Source: Ablation studies in Optics Express (2017) and Surface & Coatings Technology (2022)."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial applications; smaller (100-200 μm) for precise surface prep on iron, larger for broad area cleaning. 200 μm recommended for uniform energy distribution on iron surfaces, avoiding hotspots. Source: Equipment specs from Raycus and Coherent lasers, per Journal of Laser Applications (2019)."
"pass_count","2","passes","1","10","Single pass for light contamination (e.g., oils), multi-pass (2-3) for heavy rust on iron to achieve complete removal without increasing fluence. 2 passes recommended for industrial prep, allowing progressive cleaning. Source: Case studies in Industrial Laser Solutions (2020) and practical guidelines from laser cleaning consortia."
"overlap_ratio","70","%","10","90","Ensures uniform coverage during scanning on iron; 70% recommended for even fluence distribution and to prevent gaps in cleaning, especially for irregular surfaces. Lower for faster processes, higher for thoroughness. Source: Process optimization in Applied Optics (2018) and manufacturer guidelines from Adapt Laser Systems."
