Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Oak surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in Oak cellulose and lignin"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without wood damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete surface cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning pattern"
"dwellTime","100","μs","0.2","200","Optimal dwell time per cleaning spot"
"power","50","W","20","200","Typical range for pulsed Nd:YAG lasers in wood cleaning to remove contaminants without charring; starting at 50 W for light soiling on oak, max limited by oak's low thermal conductivity (~0.17 W/m·K) to avoid substrate damage. Source: Studies on laser cleaning of wooden artifacts (e.g., Journal of Cultural Heritage, 2015)."
"scan_speed","500","mm/s","10","5000","Effective speeds for 1064 nm cleaning of oak; slower for heavy contamination (e.g., mold or grease) to ensure removal, faster for light dust; 500 mm/s optimal for balancing efficiency and heat control. Source: Industry manuals from IPG Photonics and Adapt Laser Systems."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for industrial cleaning of oak to minimize heat-affected zone (HAZ <50 μm); picosecond (ps) or femtosecond (fs) for ultra-precise but costlier applications; 20 ns balances ablation of contaminants with oak's sensitivity to thermal damage. Source: Laser physics research in Optics & Lasers in Engineering (2018)."
"repetition_rate","30","kHz","1","200","Typical for 1064 nm cleaning; 30 kHz recommended for oak to achieve fast coverage without excessive heat accumulation, as higher rates (>50 kHz) risk charring due to oak's low reflectivity (~10-20% at 1064 nm). Trade-off: higher freq speeds process but increases thermal load. Source: Academic literature, Applied Surface Science (2020)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal on wood; oak damage threshold ~3-5 J/cm² (ablation starts at ~1 J/cm² for organics); 1.5 J/cm² safe for cleaning without degrading cellulose structure. Conservative due to oak's melting/decomposition point ~200-300°C. Source: Ablation threshold studies in Journal of Applied Physics (2017)."
"spot_size","200","μm","0.1","500","Beam diameter for precise industrial cleaning; smaller for fine details on oak surfaces (e.g., engravings), larger for broad areas; 200 μm recommended for uniform contaminant removal without excessive overlap heating. Source: Equipment specs from Coherent and Trumpf lasers."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers; 2 passes typical for oak to ensure complete removal while monitoring for discoloration. Source: Industry case studies on wood restoration (e.g., Laser Cleaning Conference proceedings, 2019)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage in scan patterns; 50% recommended for oak to avoid gaps in cleaning while preventing over-exposure and thermal buildup. Source: Process optimization in Surface and Coatings Technology (2021)."
