Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for epoxy resin removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good absorption in epoxy resins with minimal substrate penetration"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise epoxy removal control"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for epoxy resin ablation"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of epoxy matrix"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform epoxy removal"
"passCount","3","passes","1","10","Number of cleaning passes for complete epoxy removal"
"overlapRatio","50","%","10","90","Beam overlap percentage for uniform cleaning coverage"
"power","100","W","50","500","Typical range for 1064 nm Nd:YAG lasers in polymer composite cleaning to balance ablation efficiency and heat input; starting at 100 W minimizes thermal damage to epoxy matrix. Max safe ~300 W to avoid delamination (based on thermal conductivity ~0.2-0.5 W/mK). Source: Studies in Optics and Lasers in Engineering (2018) on laser ablation of CFRP; IPG Photonics YLR series specs."
"scan_speed","2000","mm/s","10","5000","Effective speeds ensure fluence delivery without excessive dwell time; 2000 mm/s optimal for light contamination on epoxy composites to prevent charring. Slower (500-1000 mm/s) for heavy contaminants. Source: Industry guidelines from Laserax equipment manuals; case studies in Journal of Cleaner Production (2020) for surface prep on composites."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred over ps/fs for cost-effective cleaning of polymers; 20 ns minimizes heat-affected zone (HAZ) in low-reflectivity epoxy (~5-10% at 1064 nm). Ps/fs (<1 ns) for ultra-precise but higher cost. Source: Laser physics research in Applied Surface Science (2019) on pulse duration effects in composite ablation."
"repetition_rate","30","kHz","1","200","20-50 kHz balances cleaning speed and heat accumulation in epoxy (melting point ~150-200°C); higher rates (>50 kHz) risk thermal buildup leading to matrix degradation. Source: Academic literature in Proceedings of SPIE (2021) on pulsed laser cleaning of polymer composites; trade-offs noted in manufacturer data from Coherent Inc."
"energy_density","","J/cm²","0.1","20","Fluence range for contaminant removal without substrate ablation; damage threshold for epoxy composites ~1.5-2.5 J/cm² at 1064 nm. Recommended <1.0 J/cm² for safe cleaning. Conservative due to variable fiber content. Source: Ablation threshold studies in Composites Part B (2017); Optics Express (2022)."
"spot_size","","μm","0.1","500","Beam diameters for uniform coverage; 200-300 μm recommended for epoxy composites to achieve fine control over ablation on heterogeneous surfaces (e.g., carbon fiber reinforced). Smaller for detail work, larger for broad areas. Source: Equipment specs from Adapt Laser Systems; process optimization in Industrial Laser Solutions (2020)."
"pass_count","","passes","1","10","Multi-pass (2-5) typical for layered contaminants on epoxy without single-pass overheating; 3 passes recommended for complete removal while preserving composite integrity. Single pass viable for light prep. Source: Industry case studies in Journal of Materials Processing Technology (2019); practical guidelines from laser cleaning service providers."
"overlap_ratio","","%","10","90","50-70% ensures uniform fluence distribution and avoids gaps/striping on irregular composite surfaces; 60% recommended for epoxy to optimize coverage without excessive energy overlap causing damage. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2021); standards from ISO 11553 on laser safety."
