Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Urethane Composites cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Urethane absorption characteristics"
"spotSize","100","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Fluence threshold for Urethane Composites ablation"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of composite surface"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heating"
"power","150","W","50","500","Typical range for 1064 nm fiber lasers in polymer composite cleaning to balance ablation and heat management; starting at 150 W for light contamination on urethanes to avoid thermal degradation (melting point ~150-200°C). Max safe ~500 W to prevent substrate damage. Source: IPG Photonics equipment manuals for composite applications; academic review in Optics and Lasers in Engineering (2018) on polymer ablation thresholds."
"scan_speed","1500","mm/s","10","5000","Effective range for contamination removal; slower speeds (500-1000 mm/s) for heavy soiling, faster (2000-3000 mm/s) for light prep. Recommended 1500 mm/s for optimal urethane cleaning to minimize heat accumulation given low thermal conductivity (~0.2 W/m·K). Source: Industry standards from Laser Clean Tech guidelines; case studies in Journal of Cleaner Production (2020) for industrial surface preparation."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for urethanes to achieve clean ablation with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) for ultra-sensitive cases but less common industrially due to cost. Avoid >200 ns to prevent melting. Source: Laser physics research in Applied Surface Science (2019) on polymer cleaning, showing ns pulses optimal for 1064 nm on low-reflectivity urethanes."
"repetition_rate","50","kHz","1","200","Standard for pulsed 1064 nm cleaning; higher rates (>50 kHz) speed up process but risk heat buildup in low-conductivity urethanes, leading to charring. Recommended 50 kHz balances speed and safety. Source: Academic literature in Lasers in Engineering (2021); manufacturer specs from Coherent Inc. for composite delamination avoidance."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant ablation without exceeding urethane damage threshold (~2-4 J/cm² at 1064 nm, due to moderate absorption). Recommended 1.5 J/cm² for safe removal of oils/paints. Conservative to account for composite variability. Source: Ablation threshold studies in Journal of Laser Applications (2017); SPIE proceedings on polymer laser interactions."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial cleaning; smaller (100-200 μm) for detailed prep, larger (300-500 μm) for broad areas. Recommended 200 μm for urethanes to ensure uniform energy distribution and reduce risk of localized overheating. Source: Equipment specifications from Adapt Laser Systems; optimization in Surface and Coatings Technology (2022)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; recommended 2 passes for complete urethane surface prep to allow cooling between passes and prevent cumulative heat damage. Source: Industry practice in aerospace case studies (Composites Part B, 2019); CleanLaser application notes."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without excessive overlap-induced heating; 30-50% for large areas, 60-80% for precision. Recommended 60% for urethanes to achieve even cleaning while managing reflectivity variations (~20-50% at 1064 nm). Source: Process optimization studies in Optics Express (2020); manufacturer guidelines from Trumpf Laser."
