Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Tempered Glass cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Optimal wavelength for Tempered Glass processing with good absorption"
"spotSize","50","μm","0.1","500","Optimal spot size for precision cleaning on Tempered Glass surface"
"repetitionRate","100","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Optimal fluence threshold for contaminant removal without glass damage"
"pulseWidth","10","ns","0.1","1000","Optimal pulse width for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Optimal number of passes for thorough cleaning"
"overlapRatio","50","%","10","90","Optimal overlap ratio for complete coverage without excessive energy deposition"
"dwellTime","100","μs","","","Optimal dwell time per cleaning spot"
