Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for metal oxide removal"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal metal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled cleaning"
"energyDensity","2.5","J/cm²","0.1","20","Energy per unit area for oxide removal"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal heat-affected zone"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform treatment"
"passCount","2","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent coverage"
"power","200","W","50","1000","Typical range for industrial 1064 nm pulsed fiber lasers cleaning SS304 contaminants like oils or rust; starting at 200 W balances efficiency and safety to avoid melting (melting point ~1425°C). Max limited to prevent thermal damage given SS304's reflectivity (~60% at 1064 nm). Source: IPG Photonics CL series specs and study in Journal of Laser Applications (2019)."
"scan_speed","1500","mm/s","10","5000","Effective range for contaminant removal without substrate ablation; slower for heavy contamination (e.g., 500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for optimal balance on SS304 to minimize heat accumulation due to its moderate thermal conductivity (16 W/mK). Source: Industry standards from Laserax equipment manuals and Applied Surface Science (2020)."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred for cost-effective industrial cleaning of SS304; picosecond (ps) or femtosecond (fs) reduce HAZ but are less common. 30 ns minimizes thermal effects while ablating contaminants. Source: Laser physics research in Optics Express (2017) on ablation thresholds for metals."
"repetition_rate","30","kHz","1","200","Typical for 1064 nm cleaning to achieve uniform energy delivery; higher rates (>50 kHz) speed up process but risk heat buildup on reflective SS304. 30 kHz recommended for balance. Trade-off: faster cleaning vs. potential oxidation. Source: Academic literature in Lasers in Engineering (2021)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant removal (e.g., rust, grease) without damaging SS304; damage threshold ~4 J/cm² for ns pulses at 1064 nm. Recommended 1.5 J/cm² avoids ablation while effective, considering high reflectivity. Source: Ablation threshold studies in Surface and Coatings Technology (2018)."
"spot_size","150","μm","0.1","500","Beam diameter range for cleaning; smaller for fine details (50-100 μm), larger for broad areas (200-300 μm). 150 μm recommended for SS304 industrial prep to ensure even fluence distribution. Source: Equipment specs from Adapt Laser Systems and Optics and Lasers in Engineering (2019)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (up to 5) for heavy layers; 2 passes recommended for complete removal on SS304 without excessive heat input. Source: Industry case studies in Journal of Cleaner Production (2022) on metal surface preparation."
"overlap_ratio","60","%","10","90","Ensures uniform coverage and avoids gaps/striping; 60% recommended for SS304 cleaning to optimize energy overlap without overexposure. Typical 30-80% based on scan patterns. Source: Process optimization in Applied Physics A (2020)."
