Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Teak surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in Teak lignin and contaminants"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","2.8","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without wood damage"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Recommended number of passes for complete surface cleaning"
"overlapRatio","40","%","10","90","Optimal beam overlap for uniform cleaning pattern"
"dwellTime","120","μs","","","Effective dwell time per cleaning spot"
