Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for CMC surface contaminant removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing optimal absorption balance for CMC ceramic phases and contaminants"
"spotSize","50","μm","0.1","500","Beam spot diameter optimized for precision cleaning of CMC surface features"
"repetitionRate","100","kHz","1","200","High repetition rate for efficient area coverage while maintaining thermal management"
"energyDensity","5","J/cm²","0.1","20","Fluence level sufficient for contaminant ablation while below CMC damage threshold"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant ablation with minimal thermal diffusion into CMC substrate"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform contaminant removal across CMC surfaces"
"passCount","2","passes","1","10","Number of cleaning passes for thorough contaminant removal with process control"
"overlapRatio","50","%","10","90","Beam overlap percentage ensuring complete coverage without excessive heat accumulation"
"power","100","W","50","500","Typical range for industrial laser cleaning of composites to avoid thermal damage; starting at 100W for CMCs due to low thermal conductivity (e.g., SiC/SiC CMCs). Max safe below 500W to prevent cracking. Source: IPG Photonics specs for YLR series lasers adapted for ceramics; academic review in Optics and Lasers in Engineering (2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for CMCs to minimize HAZ. Source: Industry standards from Laser Institute of America; case studies in Journal of Laser Applications (2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for CMCs to achieve ablation with minimal thermal diffusion; picosecond (ps) or femtosecond reduces HAZ further but increases cost. 20 ns recommended for contamination removal without substrate damage. Source: Laser physics in Applied Surface Science (2019) on ceramic ablation thresholds."
"repetition_rate","30","kHz","1","200","Typical for pulsed cleaning; higher rates speed up process but risk heat accumulation in low-conductivity CMCs. 30 kHz balances speed and safety. Trade-off: >50 kHz may cause delamination. Source: Academic literature in Optics Express (2021) on pulse train effects for composites."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal; CMCs damage threshold ~2-4 J/cm² at 1064 nm due to high reflectivity and brittleness. Recommended 1.5 J/cm² for safe cleaning. Source: Ablation studies in Journal of Applied Physics (2017) for SiC-based CMCs."
"spot_size","200","μm","0.1","500","Beam diameter for uniform coverage; smaller for fine details (100-200 μm), larger for broad areas (300-500 μm). 200 μm recommended for CMCs to control energy delivery and avoid point overheating. Source: Equipment specs from Coherent Inc. laser systems for surface preparation."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes recommended for CMCs to ensure complete removal without excessive exposure. Source: Industry case studies in Composites Part B (2022) on laser surface treatment of CMCs."
"overlap_ratio","70","%","10","90","Ensures uniform cleaning without gaps or overexposure; 70% optimal for CMCs to maintain even fluence distribution and prevent uneven heating. Source: Process optimization in Surface and Coatings Technology (2020)."
