Parameter,Value,Unit,Min,Max,Description
"powerRange","30","W","1","120","Low power for thermal-sensitive polymer cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for controlled absorption"
"spotSize","100","μm","0.1","500","Larger spot for gentle surface treatment"
"repetitionRate","20","kHz","1","200","Lower frequency to prevent thermal damage"
"energyDensity","0.5","J/cm²","0.1","20","Low energy density to avoid melting"
"pulseWidth","10","ns","0.1","1000","Short pulses for minimal thermal impact"
"scanSpeed","800","mm/s","10","5000","Fast scanning to reduce heat accumulation"
"passCount","2","passes","1","10","Multiple gentle passes for gradual cleaning"
"overlapRatio","30","%","10","90","Lower overlap to prevent overheating"
"power","50","W","20","200","Typical range for industrial laser cleaning of polymers like polyimide to avoid thermal damage; starting at 50W for controlled contaminant removal. Max safe below 200W to prevent substrate ablation (based on IPG Photonics YLR series specs and studies in Optics and Lasers in Engineering, 2018, on polymer cleaning)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for 1064nm cleaning of polyimide; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for balance of efficiency and minimal HAZ (industry standards from Laserax equipment manuals and J. Cleaner Production, 2020, case studies on surface prep)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for polyimide to balance cleaning efficacy and cost; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but less common industrially. 20 ns recommended to reduce heat accumulation given polyimide's low thermal conductivity (Laser & Particle Beams journal, 2019, on pulse regimes for polymers)."
"repetition_rate","50","kHz","1","200","Typical for 1064nm cleaning; higher rates increase speed but risk heat buildup in low-conductivity polyimide. 50 kHz recommended for optimal energy delivery without overheating (trade-off discussed in Applied Surface Science, 2017, ablation studies on polyimides)."
"energy_density","0.8","J/cm²","0.1","20","Fluence below polyimide damage threshold (~2.5 J/cm² at 1064nm ns pulses) for safe contaminant removal; 0.2-1.0 for light, up to 2.0 for heavy. Recommended 0.8 J/cm² to ablate contaminants without substrate melting (point ~400°C) (from ablation threshold research in Journal of Applied Physics, 2015, on Kapton polyimide)."
"spot_size","200","μm","0.1","500","Beam diameter for precise cleaning; smaller for fine details (100-200 μm), larger for areas (300-500 μm). 200 μm recommended for polyimide surface prep to ensure uniform fluence (equipment specs from Coherent Inc. cleaning systems and Optics Express, 2021, on beam profiling for polymers)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes recommended for complete polyimide cleaning without excessive exposure (industry practice from Adapt Laser Systems case studies and Surface and Coatings Technology, 2019, on multi-pass optimization)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage; 30-50% for speed, 60-80% for thoroughness on irregular polyimide surfaces. 60% recommended to avoid gaps while minimizing overexposure (process studies in Lasers in Manufacturing and Materials Processing, 2022)."
