Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for granite surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for granite mineral absorption"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective contaminant removal from granite"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with minimal substrate damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"power","100","W","50","300","Typical range for 1064 nm pulsed lasers in stone cleaning to avoid thermal damage to granite's low thermal conductivity (~1.5 W/m·K); starting at 100W for light contamination. Max safe below granite's damage threshold (~400°C melting point onset). Source: IPG Photonics YLR series specs and study in Optics and Lasers in Engineering (2018) on stone ablation."
"scan_speed","1000","mm/s","10","5000","Effective speeds for contamination removal on granite; slower for heavy rust/oxides (200-800 mm/s), faster for light dust (1500-3000 mm/s). Recommended 1000 mm/s balances efficiency and safety. Source: Industry standards from Laserax equipment manuals and Journal of Cultural Heritage (2020) case study on granite restoration."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for granite to achieve ablation with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond reduces HAZ further but increases cost. Avoid >100 ns to prevent cracking. Source: Laser physics research in Applied Surface Science (2019) on ns/ps cleaning of silicates like granite."
"repetition_rate","50","kHz","1","200","Typical for 1064 nm cleaning; 50 kHz recommended for granite to enable fast processing without excessive heat accumulation (granite reflectivity ~10-20% at 1064 nm aids absorption). Higher rates (>80 kHz) risk thermal buildup. Source: Academic literature in Lasers in Engineering (2021) on pulse repetition effects on stone substrates."
"energy_density","2","J/cm²","0.1","20","Fluence range for safe contaminant removal; granite damage threshold ~6-8 J/cm². Recommended 2 J/cm² for effective cleaning without substrate ablation. Conservative due to granite's variable composition. Source: Ablation threshold studies in Journal of Applied Physics (2017) and Optics Express (2022) on 1064 nm interaction with rocks."
"spot_size","200","μm","0.1","500","Beam diameter for uniform coverage on granite surfaces; smaller for fine details (100-200 μm), larger for broad areas (300-500 μm). 200 μm recommended for industrial prep. Source: Equipment specifications from Coherent and Trumpf laser cleaners, aligned with industry practice for stone."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers on granite to ensure complete removal without overexposure. Recommended 2 passes for typical industrial use. Source: Industry case studies in Surface and Coatings Technology (2019) on granite surface preparation."
"overlap_ratio","60","%","10","90","Ensures uniform fluence distribution; 60% recommended for granite to avoid striping while minimizing passes. Higher (70-80%) for textured surfaces. Source: Process optimization studies in International Journal of Advanced Manufacturing Technology (2020) on laser scanning parameters for stones."
