Parameter,Value,Unit,Min,Max,Description
"powerRange","80","W","1","120","Optimal average power for ceramic cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled material removal"
"energyDensity","2","J/cm²","0.1","20","Energy per unit area for surface cleaning"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal thermal penetration"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform coverage"
"passCount","3","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent surface treatment"
"power","100","W","50","300","Typical range for industrial 1064 nm fiber lasers cleaning hard ceramics like B4C; starting at 100 W balances efficiency and safety to avoid thermal damage given B4C's low thermal conductivity (~30 W/m·K); max limited to prevent melting (mp ~2450°C). Source: IPG Photonics YLR series specs and laser cleaning studies on ceramics (e.g., J. Laser Appl. 2018)."
"scan_speed","1000","mm/s","10","5000","Effective range for contaminant removal without substrate ablation; recommended 1000 mm/s for optimal balance on B4C surfaces; slower (200-800 mm/s) for heavy contamination, faster (2000-5000 mm/s) for light oxides/dust. Source: Industry standards from Adapt Laser Systems manuals and process optimization in Opt. Lasers Eng. (2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for B4C to enable shockwave-based cleaning with minimal heat-affected zone (HAZ <10 μm); picosecond (ps) or femtosecond (fs) reduce thermal effects but increase cost; 20 ns recommended for reflectivity (~0.3 at 1064 nm) and hardness. Source: Laser physics research on ceramic ablation (Appl. Surf. Sci. 2019); ns avoids excessive melting."
"repetition_rate","50","kHz","1","200","Standard for pulsed cleaning to control energy delivery; 50 kHz recommended for B4C to achieve fast processing while limiting heat accumulation due to poor thermal diffusivity; higher rates (>80 kHz) speed up but risk subsurface heating. Source: Academic literature on pulse train effects (J. Appl. Phys. 2021)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant ablation; B4C damage threshold ~2-3 J/cm² at 1064 nm ns pulses; 1.5 J/cm² recommended for cleaning without substrate damage, considering high absorption. Source: Ablation threshold studies on B4C (Opt. Express 2017); conservative to account for variability in surface reflectivity."
"spot_size","200","μm","0.1","500","Beam diameter range for precision vs. area coverage; 200 μm recommended for B4C surface preparation to focus energy on contaminants while minimizing edge effects; smaller for fine details, larger for broad areas. Source: Equipment specs from Coherent Armonia series and industrial cleaning guidelines."
"pass_count","2","passes","1","10","Typically 1-3 passes for complete removal of industrial contaminants; multi-pass (2 recommended) for B4C to ensure uniformity without overexposure, especially for layered oxides. Source: Industry case studies on ceramic cleaning (Laser Tech. J. 2022); single pass viable for light contamination."
"overlap_ratio","70","%","10","90","Ensures uniform coverage without gaps or excessive overlap heating; 70% recommended for B4C to achieve even cleaning on irregular surfaces, balancing speed and efficacy. Source: Process optimization studies (Procedia Manuf. 2019); higher for heavy contamination to prevent streaks."
