Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Quartz Glass cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength with good transmission through Quartz Glass for selective contaminant removal"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with controlled thermal accumulation"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Energy density threshold for effective contaminant removal without damaging Quartz Glass substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with minimal substrate heating"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"power","100","W","20","500","Typical range for industrial laser cleaning systems (e.g., CleanLaser CL 50-500 models) on delicate substrates like quartz glass to avoid thermal damage; starting at 100W for controlled ablation of contaminants. Max safe ~300-500W depending on fluence to prevent cracking (source: IPG Photonics specs and J. Laser Appl. 2018 study on glass cleaning)."
"scan_speed","500","mm/s","10","5000","Effective range for 1064 nm cleaning; slower (100-500 mm/s) for heavy contamination, faster (1000-2000 mm/s) for light; 500 mm/s recommended for optimal balance on quartz to minimize heat input (source: Industry standards from Laserax manuals and Opt. Lasers Eng. 2020 on scan optimization)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime typical for cost-effective cleaning of quartz glass; 5-50 ns for ns lasers, ps (10-100 ps) for minimal HAZ but higher cost; 20 ns recommended to reduce thermal effects given quartz's low absorption at 1064 nm (source: Laser physics in Appl. Phys. A 2019 on pulse regimes for dielectrics)."
"repetition_rate","50","kHz","1","200","Standard for pulsed cleaning; 20-50 kHz for controlled energy delivery, up to 100 kHz for faster processing but risk of heat accumulation on low-conductivity quartz; 50 kHz balances speed and safety (source: Academic lit. in J. Appl. Phys. 2021 on rep rate trade-offs for transparent substrates)."
"energy_density","1.5","J/cm²","0.1","20","Fluence for contaminant ablation without substrate damage; damage threshold for quartz ~10-15 J/cm² at 1064 nm ns pulses; 1.5 J/cm² recommended for safe cleaning of organics/metals on glass (source: Ablation studies in Opt. Express 2017 on fused silica thresholds)."
"spot_size","200","μm","0.1","500","Beam diameter range for precision vs. area coverage; 50-200 μm for fine detail on quartz surfaces, 200-500 μm for larger areas; 200 μm recommended for uniform cleaning without hotspots (source: Equipment specs from Coherent and Trumpf laser systems)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete removal on quartz while staying below damage threshold (source: Industry case studies in Surf. Coat. Technol. 2022 on multi-pass laser cleaning of glass)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 30-50% for speed, 50-80% for thorough cleaning; 50% recommended for quartz to avoid uneven heating given its thermal properties (source: Process optimization in Lasers Manuf. Mater. Process. 2019)."
