Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Lanthanum oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in Lanthanum oxides"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise oxide removal control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Fluence threshold for effective Lanthanum cleaning"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for Lanthanum oxide ablation"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for efficient oxide layer removal"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
