Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for MMCs cleaning considering thermal conductivity and matrix integrity"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good absorption in metallic matrix while minimizing damage to ceramic reinforcements"
"spotSize","50","μm","0.1","500","Beam spot diameter balancing cleaning efficiency and spatial resolution"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient cleaning while maintaining thermal management"
"energyDensity","5","J/cm²","0.1","20","Fluence level sufficient for contaminant removal without damaging MMC substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation without excessive thermal diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Number of cleaning passes for thorough contaminant removal"
"overlapRatio","50","%","10","90","Beam overlap percentage ensuring complete coverage without excessive energy deposition"
"dwellTime","100","μs","","","Effective interaction time per spot location"
