Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Steel surface cleaning and oxide removal"
"wavelength","1064","nm","355","10640","Near-infrared wavelength with good absorption in Steel oxides and contaminants"
"spotSize","50","μm","0.1","500","Beam spot diameter for balanced cleaning efficiency and coverage area"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","5","J/cm²","0.1","20","Fluence level sufficient for contaminant ablation while preserving Steel substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal without substrate damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning and process efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage without excessive heat accumulation"
"power","200","W","50","1000","Typical range for industrial 1064 nm fiber lasers cleaning steel; starting at 200 W for light contamination to avoid overheating due to steel's high thermal conductivity. Max safe ~1000 W with high scan speeds to prevent substrate melting (steel melting point ~1370°C). Source: CleanLaser CL 1000 specs and IPG Photonics YLR series manuals."
"scan_speed","1500","mm/s","10","5000","Effective range for contamination removal; slower (100-500 mm/s) for heavy rust/oil, faster (2000-5000 mm/s) for light oxides. Recommended 1500 mm/s balances cleaning efficiency and heat dissipation on reflective steel surfaces. Source: Industry standards from Laserax equipment manuals and studies in Journal of Cleaner Production (2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-200 ns) dominant for cost-effective cleaning; picosecond (ps) or femtosecond for ultra-low HAZ but less common industrially. Recommended 20 ns minimizes thermal effects on steel while ablating contaminants. Source: Laser physics research in Applied Surface Science (2018) on ablation thresholds."
"repetition_rate","80","kHz","1","200","Typical for pulsed cleaning; lower rates (20-50 kHz) reduce heat accumulation, higher (100-200 kHz) speed up process but risk overheating steel. Recommended 80 kHz for balanced throughput on metals. Trade-off: High freq increases fluence overlap. Source: Academic literature in Optics and Lasers in Engineering (2019)."
"energy_density","2.5","J/cm²","0.1","20","Fluence range for safe cleaning; below 1 J/cm² ineffective for rust, above 5-8 J/cm² risks steel damage (ablation threshold ~4-6 J/cm² at 1064 nm). Recommended 2.5 J/cm² for contamination removal without melting. Steel's reflectivity (~50% at 1064 nm) requires higher values. Source: Ablation studies in Journal of Applied Physics (2017)."
"spot_size","250","μm","0.1","500","Beam diameter range; smaller (100-300 μm) for precision surface prep, larger (500-1000 μm) for broad area cleaning. Recommended 250 μm for uniform steel cleaning, balancing resolution and coverage. Source: Equipment specs from Adapt Laser Systems and Coherent Inc. manuals."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers like mill scale. Recommended 2 passes for complete removal on steel without excessive heat input. Source: Industry case studies in Surface and Coatings Technology (2021) and practical guidelines from Laser Cleaning Europe."
"overlap_ratio","60","%","10","90","Ensures uniform coverage; 30-50% for speed, 70-80% for thorough cleaning. Recommended 60% prevents gaps on irregular steel surfaces while minimizing over-processing. Source: Process optimization in International Journal of Advanced Manufacturing Technology (2022)."
