Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Zirconium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Zirconium's moderate absorption and thermal processing"
"spotSize","50","μm","0.1","500","Optimal beam diameter for balancing cleaning efficiency and processing speed"
"repetitionRate","100","kHz","1","200","High repetition rate for efficient surface coverage while maintaining thermal control"
"energyDensity","5.1","J/cm²","0.1","20","Fluence optimized for Zirconium oxide ablation threshold while preserving base material"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient oxide layer ablation with minimal heat affected zone"
"scanSpeed","500","mm/s","10","5000","Scanning speed providing effective oxide removal with controlled thermal input"
"passCount","2","passes","1","10","Number of cleaning passes for thorough oxide removal with minimal substrate impact"
"overlapRatio","50","%","10","90","Beam overlap percentage ensuring complete surface coverage without excessive thermal buildup"
"dwellTime","100","μs","","","Effective interaction time per spot for controlled material removal"
