Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for SiC surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal SiC absorption and minimal substrate damage"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective contaminant removal from SiC surface"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"power","300","W","50","2000","Typical range for industrial 1064 nm fiber lasers used in ceramic cleaning; starting at 300 W balances efficiency and safety for SiC's high thermal conductivity (~120 W/m·K) to prevent overheating. Max avoids substrate ablation. Source: IPG Photonics YLR series specs and study in Optics and Lasers in Engineering (2018) on SiC surface preparation."
"scan_speed","2000","mm/s","10","5000","Effective range for contaminant removal without excessive heat buildup; 2000 mm/s recommended for light oils/greases on SiC, slower (500-1000 mm/s) for heavy rust. Higher speeds for large areas. Source: Industry standards from Laserax cleaning systems manuals and Journal of Cleaner Production (2020) case study on ceramics."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of SiC; 20 ns minimizes heat-affected zone (HAZ <10 μm) due to SiC's high melting point (~2700°C) and reflectivity (~40% at 1064 nm). Picosecond (ps) for ultra-precision but less common industrially. Source: Laser physics research in Applied Surface Science (2019) on pulsed laser ablation of SiC."
"repetition_rate","50","kHz","1","200","Standard for 1064 nm cleaning to achieve uniform energy delivery; 50 kHz recommended for SiC to balance speed and limit heat accumulation (trade-off: higher rates increase throughput but risk thermal stress). Source: Academic literature in Optics Express (2017) on repetition rate effects in ceramic laser processing."
"energy_density","2","J/cm²","0.1","20","Fluence range for safe contaminant ablation; SiC damage threshold ~6-10 J/cm² at 1064 nm, so 2 J/cm² recommended for removal of oxides/particles without substrate etching. Conservative for SiC's robustness. Source: Ablation threshold studies in Journal of Applied Physics (2021) and SPIE Proceedings on laser cleaning of semiconductors."
"spot_size","200","μm","0.1","500","Beam diameter range for focused cleaning; 200 μm recommended for SiC surface preparation to ensure precision on fine features while covering larger areas efficiently. Smaller for detail work, larger for broad decontamination. Source: Equipment specs from Coherent and Trumpf laser cleaning heads."
"pass_count","2","passes","1","10","Typically 1-3 passes for complete removal of light contaminants on SiC; multi-pass (2 recommended) for layered/heavy buildup to avoid single-pass overload and damage. Single pass viable for thin films. Source: Industry practice in Laser Cleaning Handbook (2022) and case studies on ceramic substrates in Materials Science and Engineering: A (2016)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without gaps or over-ablation; 60% recommended for SiC to optimize energy distribution and minimize uneven heating given its thermal properties. Higher (70-80%) for heavy contamination. Source: Process optimization studies in International Journal of Advanced Manufacturing Technology (2019) on scan strategies for laser cleaning."
