Parameter,Value,Unit,Min,Max,Description
"powerRange","25","W","1","120","Optimal average power for Polystyrene surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good absorption in Polystyrene with minimal thermal penetration"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on Polystyrene surfaces"
"repetitionRate","20","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without substrate damage"
"pulseWidth","100","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of Polystyrene surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning pattern"
"power","50","W","20","200","Typical range for polymer cleaning to avoid thermal damage; starting at 50W for light contamination on PS, max limited by PS melting point (~240°C) and low thermal conductivity. Source: Studies on Nd:YAG laser cleaning of plastics (e.g., J. Appl. Phys. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective for contamination removal without substrate ablation; slower (500-1000 mm/s) for heavy contamination, faster for light; optimal balances fluence and coverage. Source: Industry manuals from IPG Photonics and laser cleaning process optimization papers."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of PS; shorter pulses (ps/fs) minimize HAZ but ns sufficient for contamination removal without deep polymer damage. Source: Laser ablation studies on polymers (Opt. Lasers Eng. 2020)."
"repetition_rate","30","kHz","1","200","Balances cleaning speed and heat accumulation in low-conductivity PS; higher rates increase throughput but risk melting. Source: Academic literature on pulsed laser cleaning (Appl. Surf. Sci. 2019)."
"energy_density","1.5","J/cm²","0.1","20","Below PS ablation threshold (~2-4 J/cm² at 1064 nm) for safe cleaning; typical for removing contaminants while preserving substrate. Source: Fluence threshold measurements for polystyrene (J. Phys. D: Appl. Phys. 2017)."
"spot_size","200","μm","0.1","500","Smaller spots for precise surface prep on PS, larger for broad areas; 200 μm balances resolution and efficiency. Source: Equipment specs from Coherent and Trumpf laser systems."
"pass_count","2","passes","1","10","Multi-pass for thorough removal of heavy contamination; single pass for light; recommended 2 for uniform PS cleaning without overexposure. Source: Case studies in industrial laser cleaning (Proc. SPIE 2021)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage on irregular PS surfaces; 50% optimal for efficiency and minimal heat buildup. Source: Process optimization in laser scanning (Opt. Express 2016)."
