Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for mortar cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for mortar absorption and minimal substrate damage"
"spotSize","0.1","mm","0.1","500","Beam spot diameter for precise mortar cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient mortar removal with good surface quality"
"energyDensity","12.7","J/cm²","0.1","20","Fluence threshold for effective mortar ablation without damaging underlying substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective mortar ablation with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform mortar removal and processing efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete mortar removal with quality control"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform mortar removal and surface consistency"
"power","500","W","200","2000","Typical range for industrial 1064 nm laser cleaning of mortar-like cementitious materials to remove contaminants without excessive heat buildup; starting at 500 W for controlled ablation. Max avoids substrate cracking (thermal conductivity ~1 W/mK). Source: IPG Photonics YLR series specs and studies on stone cleaning (e.g., J. Laser Appl. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance removal efficiency and heat input; slower for heavy contamination (e.g., paint), faster for light dirt. Recommended 1500 mm/s for uniform mortar surface prep. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems)."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of mortar; 30 ns minimizes heat-affected zone (HAZ) due to mortar's low thermal diffusivity (~0.5 mm²/s). Picosecond (ps) or femtosecond optional for precision but less common industrially. Source: Laser physics research in Opt. Lasers Eng. (2015) on ablation of cementitious substrates."
"repetition_rate","50","kHz","1","200","Typical for pulsed 1064 nm systems on mortar to achieve pulse overlap without excessive heat accumulation; higher rates speed up cleaning but risk thermal damage on porous mortar. 50 kHz balances speed and safety. Source: Academic literature, e.g., Appl. Surf. Sci. (2019) on stone heritage cleaning trade-offs."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant ablation on mortar; below damage threshold (~3-5 J/cm² for cement, avoiding melting point ~1200°C). Recommended 1.5 J/cm² for safe removal of oxides/paint with minimal porosity alteration. Source: Ablation threshold studies in J. Cult. Herit. (2017) on laser cleaning of masonry."
"spot_size","500","μm","0.1","500","Beam diameter range for industrial cleaning; smaller for fine details, larger for broad mortar surfaces. 500 μm recommended for efficient coverage on rough mortar textures. Source: Equipment specifications from Coherent and Trumpf laser cleaning heads."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers on mortar to prevent over-ablation. Recommended 2 passes for complete removal while preserving substrate integrity. Source: Industry case studies, e.g., restoration projects in Constr. Build. Mater. (2020)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage on irregular mortar surfaces; 50% optimal for even energy distribution without gaps or hotspots. Higher for heavy contamination. Source: Process optimization in Laser Technol. (2016) for surface preparation applications."
