Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Molybdenum oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good absorption for Molybdenum surface contaminants"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution and energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective contaminant removal from Molybdenum surface"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant ablation with minimal thermal diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning with adequate overlap"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"power","100","W","50","300","Typical range for 1064 nm pulsed lasers in metal cleaning; starting at 100 W balances efficiency and safety for Mo's high reflectivity and thermal conductivity, avoiding melting (threshold ~300 W). Source: IPG Photonics YLR series specs and studies on refractory metals (e.g., J. Laser Appl. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective for contamination removal; 1500 mm/s optimal for light contaminants on Mo, slower (500-1000 mm/s) for heavy; ensures uniform cleaning without excessive heat buildup. Source: Laserax equipment manuals and industry standards for IR laser cleaning."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of reflective metals like Mo; 30 ns minimizes HAZ compared to longer pulses, while ps/fs (not typical at 1064 nm for industrial) reduce thermal effects further. Source: Laser physics reviews (Opt. Lasers Eng. 2020)."
"repetition_rate","30","kHz","1","200","Standard for pulsed cleaning; 30 kHz recommended for Mo to achieve fast processing without significant heat accumulation due to its conductivity; higher rates (>50 kHz) increase speed but risk thermal damage. Source: Academic literature on pulse train effects (Appl. Surf. Sci. 2019)."
"energy_density","1.5","J/cm²","0.1","20","Fluence for contaminant ablation without substrate damage; Mo's ablation threshold ~3-5 J/cm² at 1064 nm due to reflectivity; 1.5 J/cm² safe for cleaning. Conservative estimate from similar metals. Source: Ablation threshold studies (J. Phys. D: Appl. Phys. 2017)."
"spot_size","200","μm","0.1","500","Beam diameter for precise industrial cleaning; 200 μm recommended for Mo surface prep, balancing resolution for fine details and coverage for larger areas. Source: Manufacturer specs (e.g., Coherent Armo series) and process optimization."
"pass_count","2","passes","1","10","Typically 1-3 passes for complete removal on metals; 2 passes recommended for Mo to ensure thorough cleaning of oxides/contaminants without overexposure. Source: Industry case studies on refractory metal processing (Laser Cleaning Handbook, 2021)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 50% optimal for Mo to avoid gaps or uneven heating, adjustable higher for heavy contamination. Source: Process optimization studies (Opt. Laser Technol. 2022)."
