Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Palladium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for efficient absorption by Palladium oxides and contaminants"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning control on Palladium surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Threshold fluence for effective contaminant removal from Palladium"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heat accumulation"
"dwellTime","100","μs","0.2","200","Effective dwell time per cleaning spot for optimal results"
"power","200","W","50","500","Typical range for Nd:YAG laser cleaning of reflective metals like Pd to avoid thermal damage; starting at 200W balances efficiency and safety. Max limited by Pd's high reflectivity (~60% at 1064nm) to prevent melting (mp 1555°C). Source: IPG Photonics specs for YLR series; studies in Optics and Lasers in Engineering (2018) on precious metal cleaning."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contamination removal on Pd; slower for heavy oxides (500-1000 mm/s), faster for light contaminants (2000-3000 mm/s). Recommended 1500 mm/s for optimal balance without excessive heat. Source: Industry standards from Laserax manuals; J. Cleaner Prod. (2020) case studies on metal surface prep."
"pulse_width","20","ns","0.1","1000","Ns regime preferred for cost-effective cleaning of Pd; ps (5-50 ps) minimizes HAZ due to Pd's thermal conductivity (71 W/mK), but ns sufficient. Avoid fs for industrial scale. Recommended 20 ns for low thermal impact. Source: Laser physics in Appl. Phys. A (2015) on metal ablation thresholds."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning to control heat accumulation on reflective Pd; higher rates speed up process but risk buildup. 50 kHz recommended for uniform cleaning without overheating. Trade-off: >80 kHz increases efficiency but requires cooling. Source: Academic lit. in J. Appl. Phys. (2017); Coherent Inc. equipment guidelines."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant ablation on Pd without substrate damage; threshold ~2-3 J/cm² for ns pulses at 1064nm due to reflectivity. Recommended 1.5 J/cm² for safe removal of oxides/contaminants. Conservative to account for Pd's properties. Source: Ablation studies in Surf. Coat. Technol. (2019); uncertainty noted for exact Pd data, extrapolated from Ni/Pt analogs."
"spot_size","200","μm","0.1","500","Beam diameter for precise cleaning on Pd; smaller for fine details (100-200 μm), larger for areas (300-500 μm). 200 μm recommended for uniform coverage in industrial prep. Source: Equipment specs from Trumpf and Adapt Laser Systems; process optimization in Lasers Manuf. Mater. Process. (2021)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes typical for complete Pd surface cleaning without damage. Recommended for layered contaminants in catalysis/electronics apps. Source: Industry practice in case studies from SPIE Proc. (2016); conservative for Pd's sensitivity."
"overlap_ratio","60","%","10","90","Ensures uniform coverage on Pd; 30-50% for large areas, 60-80% for precision. 60% recommended to avoid gaps while minimizing overexposure/heat. Source: Process studies in Opt. Lasers Eng. (2022); typical range from manufacturer guidelines like CleanLASER."
