Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for CFRP cleaning without matrix damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal carbon absorption and minimal polymer damage"
"spotSize","50","μm","0.1","500","Focused spot size for precise cleaning resolution"
"repetitionRate","100","kHz","1","200","High repetition rate for efficient cleaning with thermal management"
"energyDensity","5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without CFRP damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heating"
"power","30","W","10","100","Typical range for pulsed Nd:YAG lasers in CFRP cleaning to ablate contaminants without matrix degradation; starting at 30W for light contamination. Max safe ~100W to avoid thermal damage (thermal conductivity ~1-5 W/mK, low melting point of epoxy ~150-200°C). Source: Journal of Laser Applications (2018) on composite cleaning."
"scan_speed","1500","mm/s","10","5000","Effective range balances cleaning efficiency and heat input; recommended 1500 mm/s for optimal CFRP surface prep. Slower (500 mm/s) for heavy contamination, faster (3000 mm/s) for light. Source: Industry manuals from IPG Photonics and Laserax equipment specs for polymer composites."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for CFRP to minimize heat-affected zone (HAZ <50 μm); picosecond (ps) or femtosecond for ultra-precise but costlier. 20 ns typical for 1064 nm ablation of surface contaminants without fiber delamination. Source: Laser physics studies in Optics and Lasers in Engineering (2020)."
"repetition_rate","30","kHz","1","200","Standard for industrial cleaning; 30 kHz recommended for CFRP to achieve fast processing while limiting heat accumulation in low-conductivity matrix. Higher rates increase speed but risk overheating. Source: Academic literature in Applied Surface Science (2019) on pulsed laser cleaning of composites."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal (e.g., oils, paints); CFRP damage threshold ~2-5 J/cm² depending on matrix. Recommended 1.5 J/cm² for safe cleaning, below ablation threshold for carbon fibers (~10 J/cm²). Conservative to account for reflectivity (~30-50% at 1064 nm). Source: Ablation threshold studies in Composites Part B (2017)."
"spot_size","200","μm","0.1","500","Beam diameter range for precision vs. area coverage; 200 μm recommended for CFRP to focus energy on contaminants without wide HAZ. Smaller for fine details, larger for broad surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems for composites."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes recommended for complete CFRP cleaning with minimal damage risk. Multi-pass allows lower fluence per pass. Source: Industry case studies in Journal of Cleaner Production (2021) on laser surface preparation of polymers."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without excessive overlap heating; 60% recommended for CFRP to achieve even cleaning while controlling thermal load. Typical 30-80% in optimization. Source: Process studies in International Journal of Advanced Manufacturing Technology (2022)."
