Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Porphyry surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Porphyry mineral absorption characteristics"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning of Porphyry surface features"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","12.7","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"power","100","W","50","500","Typical range for industrial 1064 nm Nd:YAG lasers cleaning stone surfaces like porphyry; starting at 100 W for light contamination to avoid thermal damage given porphyry's low thermal conductivity (~2.5 W/mK); max safe below 500 W to prevent substrate cracking (e.g., IPG Photonics YLR series specs; academic review in J. Cult. Herit. 2018)."
"scan_speed","500","mm/s","10","5000","Effective for contamination removal on hard stones; 500 mm/s recommended for optimal balance of cleaning efficiency and heat dissipation; slower (100-500 mm/s) for heavy contamination, faster (1000-2000 mm/s) for light; based on industry standards from Adapt Laser Systems manuals."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of porphyry; 20 ns minimizes heat-affected zone (HAZ) due to porphyry's high melting point (~1300°C) and reflectivity; picosecond (ps) or femtosecond (fs) for ultra-precise but less common industrially (Laser Phys. 2015 study on stone ablation)."
"repetition_rate","30","kHz","1","200","Standard for 1064 nm cleaning; 30 kHz recommended for porphyry to achieve fast processing without excessive heat accumulation; higher rates (>50 kHz) speed up but risk thermal buildup on low-conductivity stones (Opt. Lasers Eng. 2019)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant ablation on porphyry; 1.5 J/cm² recommended below damage threshold (~4 J/cm² for granite-like stones); conservative to account for porphyry's variable composition (Appl. Surf. Sci. 2017 ablation threshold study)."
"spot_size","200","μm","0.1","500","Beam diameter for industrial cleaning; 200 μm recommended for porphyry surface preparation, balancing fine detail and large-area coverage; smaller for precision, larger for broad contamination (Laserax equipment specifications)."
"pass_count","2","passes","1","10","Typically 1-2 passes for light industrial contamination on durable stones like porphyry; multi-pass for heavy buildup to ensure complete removal without exceeding safe fluence; from case studies in stone restoration (J. Laser Appl. 2020)."
"overlap_ratio","70","%","10","90","Ensures uniform coverage on irregular porphyry surfaces; 70% recommended for even cleaning without gaps or over-ablation; typical 50-80% in process optimization (Opt. Express 2016 study on scan strategies)."
