Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Manganese oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in Manganese oxides"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for Manganese oxide removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient oxide layer ablation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning"
"passCount","3","passes","1","10","Recommended number of passes for complete oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"power","200","W","50","1000","Typical range for industrial 1064 nm laser cleaning of reflective metals like manganese; starting at 200 W for contamination removal without excessive heat input. Max safe before substrate melting (Mn melting point ~1246°C) is ~1000 W with proper scanning. Source: Manufacturer specs from IPG Photonics and Coherent for metal cleaning systems; academic review in Optics and Lasers in Engineering (2018)."
"scan_speed","500","mm/s","10","5000","Effective range for removing light to heavy contamination on manganese; slower speeds (100-500 mm/s) for heavy oxides, faster (500-2000 mm/s) for light surface prep. Recommended 500 mm/s for optimal balance of efficiency and minimal thermal accumulation given Mn's moderate thermal conductivity (~7.8 W/m·K). Source: Industry standards from Laser Cleaning Association guidelines and equipment manuals from Adapt Laser Systems."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-100 ns) preferred for cost-effective cleaning of manganese; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but higher cost. 20 ns recommended to reduce heat-affected zone on reflective Mn surfaces while ablating contaminants. Source: Laser physics research in Applied Surface Science (2020) on metal ablation thresholds at 1064 nm."
"repetition_rate","50","kHz","1","200","Typical 10-100 kHz for pulsed cleaning applications; 50 kHz recommended for manganese to achieve fast processing without excessive heat buildup (high freq increases accumulation on low-conductivity metals like Mn). Trade-off: higher rates speed up cleaning but risk thermal damage. Source: Academic literature in Journal of Applied Physics (2019) on pulse repetition effects in laser ablation of alloys."
"energy_density","2","J/cm²","0.1","20","Fluence range for contaminant removal on manganese; damage threshold ~4-5 J/cm² due to high reflectivity (~60% at 1064 nm) and melting point. 2 J/cm² recommended for safe cleaning of oxides without substrate ablation. Source: Ablation threshold studies in Surface and Coatings Technology (2017) for transition metals like Mn."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial cleaning; smaller (50-200 μm) for fine surface prep on manganese, larger (200-500 μm) for broad area decontamination. 200 μm recommended for uniform energy distribution on Mn's surface. Source: Equipment specifications from Trumpf and SPI Lasers for 1064 nm cleaning heads."
"pass_count","2","passes","1","10","1-5 passes typical for complete removal of contaminants; single pass for light rust/oxides on manganese, multi-pass for heavy buildup. 2 passes recommended to ensure thorough cleaning without risking Mn substrate damage. Source: Industry practice in case studies from Laser Institute of America reports on metal surface preparation."
"overlap_ratio","50","%","10","90","30-80% overlap for uniform coverage in scanning; 50% recommended for manganese to avoid gaps in cleaning while minimizing over-processing and heat input. Higher overlap for heavy contamination. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2021) on scan strategies for metallic substrates."
