Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Neodymium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Fundamental Nd:YAG wavelength with good Neodymium absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective contaminant removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete surface cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heat accumulation"
"power","100","W","50","500","Typical range for Nd:YAG laser cleaning of soft metals like Neodymium to avoid thermal damage due to its low melting point (1021°C) and moderate thermal conductivity (16.5 W/m·K); starting at 100W balances efficiency and safety. Source: IPG Photonics YLR series specs for industrial cleaning; academic review in Optics and Lasers in Engineering (2018) on metal surface preparation."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contaminant removal on reflective metals; slower for heavy contamination (e.g., oxides), faster for light rust/oils. Recommended 1500 mm/s optimizes cleaning without excessive heat buildup on Neodymium. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Cleaner Production (2020) for rare earth metals."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning with minimal heat-affected zone (HAZ) on heat-sensitive Neodymium; picosecond (ps) or femtosecond (fs) reduce HAZ further but increase cost. 20 ns recommended for balancing ablation and substrate integrity. Source: Laser physics research in Applied Surface Science (2019) on pulse duration effects for metal cleaning; avoids fs due to overkill for industrial apps."
"repetition_rate","30","kHz","1","200","Typical for pulsed Nd:YAG cleaning; higher rates speed up process but risk heat accumulation on low-conductivity Neodymium, potentially causing melting. 30 kHz recommended for efficient, controlled energy delivery. Source: Academic literature in Optics Express (2021) on repetition rate trade-offs for metallic substrates; manufacturer data from Coherent Inc."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe ablation of contaminants (e.g., oils, oxides) without exceeding Neodymium's damage threshold (~4 J/cm² at 1064 nm due to reflectivity ~60%). 1.5 J/cm² recommended for effective cleaning below threshold. Source: Ablation threshold studies in Journal of Applied Physics (2017) for rare earth metals; conservative for Neodymium's properties."
"spot_size","200","μm","0.1","500","Beam diameter range for precision vs. area coverage; smaller for fine surface prep on Neodymium components (e.g., magnets), larger for broad cleaning. 200 μm recommended for uniform energy distribution without hotspots. Source: Equipment specifications from Trumpf laser systems; process optimization in Surface and Coatings Technology (2022)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers to ensure complete removal without cumulative damage to soft Neodymium. 2 passes recommended for industrial surface preparation. Source: Industry practice in laser cleaning case studies, e.g., SPIE Proceedings (2020) on metallic alloys; adapts to Neodymium's reactivity."
"overlap_ratio","50","%","10","90","Ensures uniform coverage and prevents gaps in cleaning; 50% optimal for Neodymium to minimize overexposure while achieving even fluence distribution. Higher for detailed work. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2019); standard in equipment like Adapt Laser guidelines."
