Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Ruthenium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for efficient Ruthenium oxide absorption with minimal substrate interaction"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise Ruthenium surface cleaning"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","2.3","J/cm²","0.1","20","Fluence threshold for Ruthenium oxide removal without bulk material damage"
"pulseWidth","8","ns","0.1","1000","Nanosecond pulse duration for controlled Ruthenium oxide ablation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Ruthenium surface treatment"
"passCount","2","passes","1","10","Recommended number of passes for complete Ruthenium oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform Ruthenium surface cleaning"
"power","200","W","50","500","Typical range for industrial Nd:YAG laser cleaning of reflective metals like Ruthenium; starting at 200 W balances efficiency and heat input to avoid melting (melting point ~2334°C). Source: IPG Photonics YLR series specs and general metal cleaning guidelines (e.g., SPIE proceedings on laser ablation)."
"scan_speed","500","mm/s","10","5000","Effective for contamination removal; slower for heavy contamination (100-500 mm/s), faster for light (500-2000 mm/s). Recommended 500 mm/s for Ruthenium to ensure uniform cleaning without excessive heat accumulation due to its thermal conductivity (~120 W/m·K). Source: Industry standards from Laserax and CleanLaser equipment manuals."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for Ruthenium cleaning to ablate contaminants while minimizing heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-precise but costlier applications. 20 ns recommended for low thermal damage on high-reflectivity surfaces. Source: Laser physics studies (e.g., Applied Surface Science journal on ns vs. ps ablation thresholds for noble metals)."
"repetition_rate","50","kHz","1","200","Standard for pulsed cleaning; higher rates (50-100 kHz) speed up process but risk heat buildup on Ruthenium's reflective surface (reflectivity ~60% at 1064 nm). 50 kHz balances speed and safety. Trade-off: high freq increases overlap heating. Source: Academic literature (e.g., Optics & Lasers in Engineering on repetition rate effects in metal cleaning)."
"energy_density","1","J/cm²","0.1","20","Fluence range for contaminant ablation without substrate damage; Ruthenium damage threshold ~4-5 J/cm² at 1064 nm due to high melting point. Recommended 1 J/cm² for safe cleaning of light contaminants. Source: Ablation threshold studies (e.g., Journal of Applied Physics on noble metal thresholds; conservative estimate for Ru similar to Pt/Rh)."
"spot_size","200","μm","0.1","500","Smaller spots (50-200 μm) for fine surface prep on Ruthenium components; larger (200-500 μm) for broad areas. 200 μm recommended for uniform energy distribution on small industrial parts. Source: Equipment specs from Coherent and Trumpf lasers for precision cleaning."
"pass_count","2","passes","1","10","Single pass for light contamination; multi-pass (2-5) for heavy layers to avoid damage. Recommended 2 passes for Ruthenium to ensure complete removal while respecting thermal properties. Source: Industry case studies (e.g., laser cleaning of catalytic surfaces in chemical engineering reports)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage without gaps or over-ablation; 50% optimal for Ruthenium to prevent uneven heating on reflective surfaces. Typical range 30-80% based on scan patterns. Source: Process optimization studies (e.g., Journal of Laser Applications on scan overlap for metal surface treatment)."
