Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for polyester resin composite cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimal for polyester resin composite processing"
"spotSize","80","μm","0.1","500","Optimal beam spot diameter for precision cleaning"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning process"
"pulseWidth","15","ns","0.1","1000","Optimal pulse duration for efficient material removal with minimal heat affected zone"
"scanSpeed","800","mm/s","10","5000","Optimal scanning speed for efficient coverage and material removal"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning"
"fluence","3","J/cm²","3","5","Energy density threshold for effective Polyester Resin Composites cleaning - Energy density threshold for composite material cleaning considering matrix and reinforcement properties"
"power","100","W","20","500","Typical range for industrial 1064 nm laser cleaning of polymer composites to balance efficiency and heat input; starting at 100 W avoids thermal damage to polyester's low melting point (~260°C). Max safe ~300 W at high speeds to prevent substrate ablation. Source: Laserax manufacturer specs and studies in Optics and Lasers in Engineering (2018) on composite surface prep."
"scan_speed","2000","mm/s","10","5000","Effective range for contamination removal; slower (500-1000 mm/s) for heavy contaminants like oils, faster (2000-5000 mm/s) for light dust. Recommended 2000 mm/s for optimal cleaning without overheating polyester's low thermal conductivity (~0.2 W/m·K). Source: IPG Photonics equipment manuals and Journal of Cleaner Production (2020) case studies on polymer composites."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-100 ns) preferred over ps/fs for cost-effective 1064 nm cleaning of composites; 20 ns minimizes heat-affected zone (HAZ <50 μm) by reducing thermal diffusion in polyester. Ps/fs (e.g., <1 ps) for ultra-precise but less common industrially. Source: Laser physics research in Applied Surface Science (2019) on polymer ablation thresholds."
"repetition_rate","30","kHz","1","200","Typical 10-100 kHz for pulsed cleaning; 30 kHz recommended for polyester composites to achieve fast coverage while limiting heat accumulation (trade-off: higher rates speed up process but risk melting if >50 kHz without high speed). Source: Academic literature in Lasers in Manufacturing and Materials Processing (2021) on fiber-reinforced polymers."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe ablation of contaminants; damage threshold for polyester composites ~3-5 J/cm² due to reflectivity (~5-10% at 1064 nm) and low thermal conductivity. Recommended 1.5 J/cm² for effective cleaning without substrate damage. Source: Ablation threshold studies in Composites Part B: Engineering (2017) and SPIE proceedings on laser cleaning."
"spot_size","200","μm","0.1","500","Typical beam diameter for industrial cleaning; 100-200 μm for fine surface prep on composites, 300-500 μm for large areas. 200 μm recommended for polyester to ensure uniform energy distribution and avoid localized overheating. Source: Coherent Inc. equipment specifications and industry standards from Laser Institute of America."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes recommended for complete removal on polyester composites without excessive heat buildup. Source: Industry practice in case studies from Journal of Materials Processing Technology (2022) on resin composite cleaning."
"overlap_ratio","50","%","10","90","30-80% ensures uniform coverage; 50% recommended for polyester to balance efficiency and avoid uneven heating or missed spots during scan. Higher overlap (70-80%) for heavy contamination. Source: Process optimization studies in Optics & Laser Technology (2019) on polymer surface treatment."
