Parameter,Value,Unit,Min,Max,Description
"powerRange","70","W","1","120","Controlled power for glass cleaning"
"wavelength","1064","nm","355","10640","Near-IR for transparent material cleaning"
"spotSize","60","μm","0.1","500","Spot size for effective glass treatment"
"repetitionRate","40","kHz","1","200","Moderate frequency for glass cleaning"
"energyDensity","1.8","J/cm²","0.1","20","Controlled energy for surface treatment"
"pulseWidth","10","ns","0.1","1000","Short pulses to prevent cracking"
"scanSpeed","600","mm/s","10","5000","Faster scanning for thermal management"
"passCount","2","passes","1","10","Careful passes for complete cleaning"
"overlapRatio","40","%","10","90","Moderate overlap for glass surfaces"
"power","100","W","20","500","Typical range for delicate glass substrates to avoid thermal damage; starting at 100W for initial tests on light contaminants. Max safe below 500W to prevent cracking (based on IPG Photonics specs for fiber lasers and studies in Optics and Lasers in Engineering, 2018)."
"scan_speed","1500","mm/s","10","5000","Effective for contaminant removal without excessive heat buildup; slower (500-1000 mm/s) for heavy contamination, faster (2000-3000 mm/s) for light. Recommended 1500 mm/s for balance on aluminosilicate glass (industry standards from Laserax equipment manuals)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning with minimal HAZ; picosecond (ps) or femtosecond for ultra-precision but higher cost. 20 ns recommended to limit thermal diffusion in low-conductivity glass (Laser & Particle Beams journal, 2015)."
"repetition_rate","50","kHz","1","200","Balances cleaning speed and heat accumulation; higher rates (>50 kHz) risk substrate heating in reflective glass. 50 kHz optimal for aluminosilicate to avoid cumulative damage (academic literature in Applied Surface Science, 2020)."
"energy_density","2","J/cm²","0.1","20","Fluence below glass damage threshold (~10 J/cm² at 1064 nm for ns pulses); 0.5-2 J/cm² for light contaminants, up to 5 for heavy. Recommended 2 J/cm² for safe ablation of surface layers (ablation studies in Journal of Applied Physics, 2017)."
"spot_size","200","μm","0.1","500","Smaller spots (50-200 μm) for fine detail cleaning, larger (200-500 μm) for area coverage. 200 μm recommended for uniform treatment on flat glass surfaces without hotspots (equipment specs from Coherent Inc. laser systems)."
"pass_count","2","passes","1","10","Single pass for light contamination; multi-pass (2-5) for stubborn residues. 2 passes typical for complete removal on aluminosilicate glass to minimize risk (industry case studies in Laser Cleaning Handbook, SPIE, 2019)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without gaps or overexposure; 30-50% for speed, 60-80% for thoroughness. 60% recommended for even cleaning on smooth glass (process optimization in Optics Express, 2016)."
