Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power range for Polypropylene surface cleaning without thermal degradation"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Polypropylene absorption characteristics and minimal thermal damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for effective cleaning resolution on Polypropylene surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning while maintaining thermal control"
"energyDensity","1.2","J/cm²","0.1","20","Fluence threshold for effective contaminant removal while preserving Polypropylene substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants from Polypropylene surface"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage without excessive thermal buildup"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal from Polypropylene"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"dwellTime","100","μs","","","Optimal dwell time per spot for effective cleaning without thermal damage"
