Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Marble surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Marble absorption and minimal subsurface damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on Marble surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal while preserving Marble substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning without excessive thermal buildup"
"passCount","3","passes","1","10","Recommended number of passes for thorough cleaning with progressive contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage and processing efficiency"
"power","100","W","20","300","Typical range for Nd:YAG lasers in stone cleaning to balance efficiency and heat control; starting at 100 W avoids thermal cracking in marble (CaCO3, low thermal conductivity ~2.5 W/mK); max limited to prevent decomposition above 800°C. Source: Adapt Laser Systems specs and Verho et al. (2007) in J. Cult. Herit."
"scan_speed","500","mm/s","10","5000","Slower speeds for heavy contamination (e.g., soot) ensure complete removal without residue; faster for light dirt; 500 mm/s optimal for uniform cleaning on porous marble surfaces. Source: Industry manuals from Laser Photonics and case studies in Opt. Lasers Eng. (2015)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred over ps/fs for cost-effective cleaning with minimal heat-affected zone (HAZ <10 μm) on heat-sensitive marble; avoids plasma shielding issues in fs. Source: Laser physics in Pouli et al. (2010), Appl. Phys. A."
"repetition_rate","20","kHz","1","200","20 kHz balances cleaning speed and heat accumulation (marble reflectivity ~0.3 at 1064 nm leads to ~70% absorption); higher rates risk cumulative heating/cracking. Source: Academic lit. in J. Appl. Phys. (2012) and IPG Photonics guidelines."
"energy_density","1","J/cm²","0.1","20","Fluence below marble damage threshold (~5-8 J/cm² for CaCO3 ablation) for safe contaminant removal; 1 J/cm² effective for organic/inorganic dirt without substrate etching. Source: Ablation studies in Sansonetti & Marchesi (2001), Stud. Conserv., and threshold data from ELZA laser research."
"spot_size","200","μm","0.1","500","Smaller spots for fine details on marble sculptures; larger for industrial surface prep; 200 μm recommended for even energy distribution on irregular surfaces. Source: Equipment specs from Coherent Inc. and process opt. in Lasers Manuf. Mater. Process. (2018)."
"pass_count","2","passes","1","10","Multi-pass for layered contamination (e.g., 2 passes for heavy industrial grime); single pass sufficient for light cleaning; minimizes total exposure time on thermally fragile marble. Source: Industry case studies in J. Cult. Herit. (2014) and practical guidelines from Laser Cleaning Europe."
"overlap_ratio","70","%","10","90","70% overlap ensures uniform fluence coverage without gaps on marble's textured surface; higher for heavy soiling to avoid streaking. Source: Process optimization in Opt. Express (2016) and scanning system manuals from scanning galvo providers like Scanlab."
