Parameter,Value,Unit,Min,Max,Description
"powerRange","30","W","1","120","Low power for thermal-sensitive polymer cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for controlled absorption"
"spotSize","100","μm","0.1","500","Larger spot for gentle surface treatment"
"repetitionRate","20","kHz","1","200","Lower frequency to prevent thermal damage"
"energyDensity","0.5","J/cm²","0.1","20","Low energy density to avoid melting"
"pulseWidth","10","ns","0.1","1000","Short pulses for minimal thermal impact"
"scanSpeed","800","mm/s","10","5000","Fast scanning to reduce heat accumulation"
"passCount","2","passes","1","10","Multiple gentle passes for gradual cleaning"
"overlapRatio","30","%","10","90","Lower overlap to prevent overheating"
"power","100","W","50","500","Typical range for polymer cleaning to avoid thermal damage; starting at 100W for light contamination on PET, max below ~300W to prevent melting (PET melting point ~260°C). Source: Studies on Nd:YAG laser cleaning of plastics (e.g., J. Laser Appl. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance cleaning efficiency and heat input; slower (500-1000 mm/s) for heavy contamination, faster (2000+ mm/s) for light; 1500 mm/s optimal for uniform PET surface prep. Source: Industry manuals from IPG Photonics and Laserax equipment specs."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for 1064 nm cleaning of PET to minimize HAZ; picosecond (ps) or femtosecond (fs) for ultra-precise but costlier; 20 ns balances ablation and low thermal diffusion (PET low conductivity ~0.15 W/mK). Source: Laser physics reviews (Opt. Lasers Eng. 2020)."
"repetition_rate","30","kHz","1","200","Typical for pulsed cleaning; 20-50 kHz recommended for PET to enable fast processing without excessive heat accumulation; higher rates increase speed but risk substrate heating. Source: Academic literature on polymer laser ablation (Appl. Surf. Sci. 2019)."
"energy_density","1","J/cm²","0.1","20","Fluence below PET damage threshold (~2-4 J/cm² at 1064 nm) for safe contaminant removal; 0.5-1.5 J/cm² for light cleaning, up to 2.5 for heavy; conservative to account for PET's moderate IR absorption (~20-30%). Source: Ablation threshold studies (J. Phys. D: Appl. Phys. 2017)."
"spot_size","300","μm","0.1","500","Smaller spots (100-300 μm) for fine detail on PET, larger (500-1000 μm) for broad areas; 300 μm recommended for balanced resolution and energy distribution in industrial cleaning. Source: Manufacturer specs from Coherent and Trumpf laser systems."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-3) for complete removal without damage; 2 passes typical for PET to ensure uniformity while minimizing heat exposure. Source: Case studies in industrial laser cleaning (Proc. SPIE 2021)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 40-60% for PET to avoid gaps or overexposure; higher (70-80%) for heavy contamination, lower for speed. Source: Process optimization in laser scanning (Opt. Eng. 2016)."
