Parameter,Value,Unit,Min,Max,Description
"powerRange","25","W","1","120","Optimal average power for Borosilicate Glass surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing good transmission control for surface contamination removal"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on glass surface"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Fluence threshold for contaminant removal without glass damage"
"pulseWidth","100","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with minimal substrate heating"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive energy deposition"
"power","50","W","20","200","Typical range for industrial cleaning of delicate substrates like borosilicate glass to prevent thermal cracking; starting at 50W for light contamination, max safe below 200W to avoid substrate heating beyond 500°C (IPG Photonics laser cleaning systems specs; borosilicate's low thermal conductivity ~1 W/mK limits heat dissipation)."
"scan_speed","2000","mm/s","10","5000","Effective for contaminant removal without excessive dwell time; slower (500-1000 mm/s) for heavy contamination, faster (up to 5000 mm/s) for light; recommended 2000 mm/s balances efficiency and safety (industry standards from Laserax and Adapt Laser manuals; considers glass reflectivity ~4% at 1064 nm)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred over ps/fs for cost-effective cleaning; 10-50 ns minimizes heat-affected zone (HAZ <10 μm) while ablating contaminants; avoids fs for industrial scalability (Laser Physics research, e.g., studies on ns pulses for glass in Opt. Express 2018; borosilicate's melting point ~820°C requires short pulses to limit conduction)."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning; 20-50 kHz recommended to reduce heat accumulation in low-conductivity glass; higher rates (>50 kHz) speed up process but risk cumulative heating (trade-off noted in academic literature, e.g., J. Laser Appl. 2020; balances with glass's thermal diffusivity ~0.6 mm²/s)."
"energy_density","2","J/cm²","0.1","20","Fluence range for safe contaminant removal; damage threshold ~8-12 J/cm² for borosilicate at 1064 nm ns pulses; recommended 1-3 J/cm² avoids ablation/cracking (ablation threshold studies in Appl. Surf. Sci. 2015; low absorption at 1064 nm (~10 cm⁻¹) means fluence targets surface contaminants primarily)."
"spot_size","200","μm","0.1","500","Beam diameter for precise surface preparation; smaller (100-200 μm) for fine details, larger (up to 500 μm) for broad areas; 200 μm recommended for uniform cleaning on glass (equipment specifications from Coherent and Trumpf lasers; suits borosilicate's smooth surface to minimize edge effects)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-3) for heavy; recommended 2 passes ensures complete removal without damage (industry case studies on glass cleaning, e.g., proceedings from ICALEO 2019; accounts for glass's high fracture toughness but sensitivity to repeated heating)."
"overlap_ratio","70","%","10","90","Ensures uniform coverage and avoids streaks; 50-70% for light cleaning, up to 80% for heavy; 70% optimal for borosilicate to prevent uneven heating (process optimization studies in J. Clean. Prod. 2021; standard in scanning systems to maintain consistent fluence distribution)."
