Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Cast Iron oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Cast Iron absorption and rust removal"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"energyDensity","5","J/cm²","0.1","20","Fluence threshold for Cast Iron oxide removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient oxide layer ablation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Number of cleaning passes for complete oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform surface treatment"
"power","200","W","50","1000","Typical range for industrial cleaning of cast iron to remove rust or contaminants without substrate damage; starting at 200W balances efficiency and safety. Max limited to avoid melting (cast iron melting point ~1150-1300°C). Source: IPG Photonics laser cleaning systems specs for metal surfaces; academic review in Optics and Lasers in Engineering (2018)."
"scan_speed","2000","mm/s","10","5000","Effective range for 1064 nm cleaning on cast iron; slower for heavy contamination (e.g., thick rust) to ensure ablation, faster for light oils. Recommended 2000 mm/s for optimal throughput with minimal heat input, considering cast iron's high thermal conductivity (~50 W/m·K). Source: Industry standards from Laserax equipment manuals; case studies in Journal of Cleaner Production (2020)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime dominant for industrial cleaning of cast iron to achieve plasma-induced ablation with low heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-precise but costlier applications. 50 ns recommended to minimize thermal diffusion in cast iron (reflectivity ~40% at 1064 nm). Source: Laser physics research in Applied Surface Science (2019); avoids fs due to overkill for contamination removal."
"repetition_rate","100","kHz","1","200","Standard range for pulsed fiber lasers in metal cleaning; 100 kHz balances cleaning speed and heat accumulation on cast iron, where high rates (>150 kHz) risk subsurface heating despite good conductivity. Trade-off: higher freq accelerates process but increases cumulative fluence. Source: Academic literature in Lasers in Manufacturing and Materials Processing (2021)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe removal of contaminants like rust or paint on cast iron; damage threshold ~2-4 J/cm² to avoid pitting or melting. 1.5 J/cm² recommended for effective cleaning below ablation threshold of cast iron (~3 J/cm² at 1064 nm). Conservative due to cast iron's variable surface roughness. Source: Ablation threshold studies in Journal of Applied Physics (2017); SPIE proceedings on laser cleaning."
"spot_size","200","μm","0.1","500","Beam diameter range for industrial scanners; smaller for fine details (e.g., crevices in castings), larger for broad areas. 200 μm recommended for uniform coverage on rough cast iron surfaces without excessive overlap heating. Source: Equipment specifications from Coherent and Trumpf laser systems; process optimization in Surface and Coatings Technology (2022)."
"pass_count","2","passes","1","10","Typically 1-3 passes for light to moderate contamination on cast iron; multi-pass for layered buildup (e.g., old paint). 2 passes recommended for complete removal while minimizing total energy input and HAZ. Single pass viable for thin rust. Source: Industry practice from case studies in International Journal of Advanced Manufacturing Technology (2019); manufacturer guidelines."
"overlap_ratio","60","%","10","90","Standard range for scan line overlap to ensure uniform fluence distribution; 60% recommended for cast iron to achieve even cleaning on irregular surfaces without gaps or over-ablation. Higher (70-80%) for heavy contamination. Source: Process optimization studies in Optics and Laser Technology (2020); based on Gaussian beam profiles in cleaning simulations."
