Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Tin oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for efficient Tin oxide absorption with minimal substrate heating"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise Tin surface cleaning"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient Tin cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for Tin oxide ablation threshold"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for controlled Tin oxide ablation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Tin oxide removal"
"passCount","2","passes","1","10","Recommended number of passes for complete Tin oxide removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform Tin surface cleaning"
"power","100","W","20","500","Typical range for industrial 1064 nm pulsed laser cleaning of reflective metals like tin to balance efficiency and avoid melting (tin melting point ~232°C); starting at 100W for light contamination. Max safe ~300-500W with proper pulsing to prevent substrate damage due to high reflectivity (~70% at 1064 nm). Source: Manufacturer specs (e.g., IPG Photonics YLR series for metal cleaning); academic review in 'Laser Cleaning' by Kononenko et al. (Optics & Lasers in Engineering, 2016)."
"scan_speed","1000","mm/s","10","5000","Range for effective contaminant removal on tin; slower speeds (100-500 mm/s) for heavy oxides, faster (2000-5000 mm/s) for light surface prep. Recommended 1000 mm/s for optimal balance of cleaning rate and heat input, considering tin's thermal conductivity (~67 W/m·K). Source: Industry standards from Laser Institute of America guidelines; equipment manuals (e.g., CleanLaser CL series)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-200 ns) preferred for industrial tin cleaning to ablate contaminants without excessive heat; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but costlier. 20 ns recommended for tin to minimize thermal effects on reflective, low-melting substrate. Source: Laser physics research in 'Ultrashort Pulse Laser Ablation' by Bauerle (Laser Processing and Chemisty, 2011); studies on metal ablation thresholds."
"repetition_rate","30","kHz","1","200","Typical 10-100 kHz for pulsed cleaning; 30 kHz recommended for tin to achieve fast coverage without excessive heat accumulation (trade-off: higher rates speed up process but risk melting if fluence too high). Lower rates for heavy contamination. Source: Academic literature, e.g., 'Pulsed Laser Cleaning of Metals' in Journal of Applied Physics (Anisimov et al., 2018)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal on tin; ablation threshold ~0.5-1 J/cm² for ns pulses at 1064 nm, damage threshold ~3-5 J/cm² to avoid substrate melting. Recommended 1.5 J/cm² for safe cleaning of light contaminants, accounting for high reflectivity reducing effective absorption. Source: Ablation threshold studies, e.g., 'Laser Ablation of Tin' in Applied Surface Science (Lorenz et al., 2009); conservative for industrial use."
"spot_size","200","μm","0.1","500","Beam diameter range: 50-200 μm for fine detail on tin surfaces (e.g., electronics), 500-1000 μm for large-area industrial prep. 200 μm recommended for uniform cleaning without over-focusing heat on low-melting tin. Source: Equipment specifications from Coherent and Trumpf laser systems for cleaning applications."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers on tin to ensure complete removal without cumulative damage. Recommended 2 passes for typical industrial surface preparation, allowing cooling between passes. Source: Industry practice in case studies, e.g., 'Laser Cleaning of Metallic Substrates' (SPI Lasers application notes); empirical from metal cleaning trials."
"overlap_ratio","50","%","10","90","30-80% overlap for uniform coverage in scanned cleaning; 50% recommended for tin to avoid gaps or uneven heating, optimizing for reflective surfaces and contamination uniformity. Higher overlap for heavy soiling. Source: Process optimization studies in 'Laser Surface Cleaning' (Optics and Lasers in Engineering, 2020); manufacturer guidelines (e.g., Adapt Laser Systems)."
