Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Porcelain surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Porcelain absorption and minimal substrate damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on Porcelain surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal while preserving Porcelain substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage without excessive thermal buildup"
"dwellTime","100","μs","","","Optimal dwell time per spot for effective cleaning with thermal control"
