Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Cherry surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal absorption in Cherry organic compounds"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning process"
"energyDensity","1.8","J/cm²","0.1","20","Fluence threshold for effective contaminant removal"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for efficient ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient area coverage"
"passCount","2","passes","1","10","Number of cleaning passes for complete surface treatment"
"overlapRatio","30","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"dwellTime","100","μs","0.2","200","Effective dwell time per spot for contaminant removal"
"power","50","W","20","200","Typical range for wood cleaning at 1064 nm to remove contaminants without charring; starting at 50 W for delicate hardwoods like cherry to minimize thermal damage. Max safe ~200 W to avoid substrate ablation. Source: Studies on laser cleaning of wood (e.g., Journal of Cultural Heritage, 2018); IPG Photonics YLR series specs for cleaning applications."
"scan_speed","500","mm/s","10","5000","Effective speeds for contaminant removal on wood; 500 mm/s recommended for optimal balance of cleaning efficiency and heat control on cherry wood. Slower (100-500 mm/s) for heavy contamination, faster (1000-2000 mm/s) for light. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for wood to ablate contaminants with minimal heat-affected zone; 20 ns recommended for cherry to reduce thermal diffusion given wood's low conductivity (~0.16 W/m·K). Picosecond (ps) or femtosecond optional for ultra-precision but less common industrially. Source: Laser physics research in Optics and Lasers in Engineering (2020)."
"repetition_rate","30","kHz","1","200","Typical for pulsed cleaning of organics; 30 kHz balances speed and heat accumulation on cherry wood (reflectivity ~40% at 1064 nm, melting point N/A but charring >200°C). Higher rates increase speed but risk buildup. Source: Academic literature, e.g., Applied Surface Science (2019) on wood laser processing."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant removal; cherry wood damage threshold ~8-12 J/cm² at 1064 nm due to low thermal conductivity. 1.5 J/cm² recommended for cleaning without substrate harm. Source: Ablation threshold studies in Journal of Applied Physics (2017) for hardwoods."
"spot_size","200","μm","0.1","500","Beam diameter for precise cleaning; 200 μm recommended for cherry surface preparation to cover details without overexposure. Smaller for fine work, larger for broad areas. Source: Equipment specs from Coherent and Trumpf laser cleaning systems."
"pass_count","2","passes","1","10","Multi-pass for thorough removal on wood; 2 passes recommended for cherry to ensure complete contamination clearance while monitoring for discoloration. Single pass for light soils. Source: Industry case studies in restoration (e.g., ICALEO proceedings, 2021)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage; 60% recommended for cherry to avoid gaps or excessive overlap heating, given wood's sensitivity. Source: Process optimization in Laser & Photonics Reviews (2016)."
